TOPIC,SUBTOPIC,SUBTOPIC_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_UCI,ESTIMATE_LCI,FLAG,FOOTNOTE_ID_LIST
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 20-29 years,21,21,"Percent of population, crude",0,2013-2014,8,3,0.9,5.5,1.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 20-29 years,21,21,"Percent of population, crude",0,2015-2016,9,5.1,1,7.7,3.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 20-29 years,21,21,"Percent of population, crude",0,2017-2018,10,8.9,2.4,15.5,4.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 30-39 years,22,22,"Percent of population, crude",0,1999-2000,1,12.6,1.8,17.1,9,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 30-39 years,22,22,"Percent of population, crude",0,2001-2002,2,16.9,2.3,22.4,12.2,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 30-39 years,22,22,"Percent of population, crude",0,2003-2004,3,16.5,2.9,23.8,10.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 30-39 years,22,22,"Percent of population, crude",0,2005-2006,4,14.1,2.6,20.6,9,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 30-39 years,22,22,"Percent of population, crude",0,2007-2008,5,13,2.1,18.1,8.9,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 30-39 years,22,22,"Percent of population, crude",0,2009-2010,6,13.4,1.6,17.2,10.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 30-39 years,22,22,"Percent of population, crude",0,2011-2012,7,10.9,1.7,15.1,7.5,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 30-39 years,22,22,"Percent of population, crude",0,2013-2014,8,14.9,1.6,18.7,11.6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 30-39 years,22,22,"Percent of population, crude",0,2015-2016,9,13.4,1.8,17.7,9.8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 30-39 years,22,22,"Percent of population, crude",0,2017-2018,10,11.1,2.2,16.9,6.8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 40-49 years,23,23,"Percent of population, crude",0,1999-2000,1,28.5,3.9,37.9,20.3,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 40-49 years,23,23,"Percent of population, crude",0,2001-2002,2,18.7,3,26,12.8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 40-49 years,23,23,"Percent of population, crude",0,2003-2004,3,27.7,2.1,32.7,23.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 40-49 years,23,23,"Percent of population, crude",0,2005-2006,4,19,2.2,24.2,14.6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 40-49 years,23,23,"Percent of population, crude",0,2007-2008,5,17.4,2.5,23.4,12.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 40-49 years,23,23,"Percent of population, crude",0,2009-2010,6,17.3,1.9,21.6,13.5,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 40-49 years,23,23,"Percent of population, crude",0,2011-2012,7,15.9,1.9,20.3,12.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 40-49 years,23,23,"Percent of population, crude",0,2013-2014,8,17.5,1.6,21.4,14.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 40-49 years,23,23,"Percent of population, crude",0,2015-2016,9,15.8,3.1,23.7,9.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 40-49 years,23,23,"Percent of population, crude",0,2017-2018,10,9.7,2.5,16.5,5,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 50-59 years,24,24,"Percent of population, crude",0,1999-2000,1,19.8,3,27.1,13.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 50-59 years,24,24,"Percent of population, crude",0,2001-2002,2,26.2,2.9,32.9,20.2,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 50-59 years,24,24,"Percent of population, crude",0,2003-2004,3,17.8,2,22.9,13.5,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 50-59 years,24,24,"Percent of population, crude",0,2005-2006,4,19.5,2.9,26.6,13.6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 50-59 years,24,24,"Percent of population, crude",0,2007-2008,5,21.8,2.3,27.2,17.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 50-59 years,24,24,"Percent of population, crude",0,2009-2010,6,16,2.5,22,11.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 50-59 years,24,24,"Percent of population, crude",0,2011-2012,7,18.7,2.2,23.7,14.3,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 50-59 years,24,24,"Percent of population, crude",0,2013-2014,8,9,1.6,13.1,5.8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 50-59 years,24,24,"Percent of population, crude",0,2015-2016,9,17.2,1.4,21.2,13.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 50-59 years,24,24,"Percent of population, crude",0,2017-2018,10,14.6,3.5,23.8,8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 60-69 years,25,25,"Percent of population, crude",0,1999-2000,1,16.4,2.2,21.7,12,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 60-69 years,25,25,"Percent of population, crude",0,2001-2002,2,15.8,1.6,20.4,12,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 60-69 years,25,25,"Percent of population, crude",0,2003-2004,3,16.9,2.6,23.3,11.6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 60-69 years,25,25,"Percent of population, crude",0,2005-2006,4,11.4,2.4,17.6,6.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 60-69 years,25,25,"Percent of population, crude",0,2007-2008,5,9.7,1.2,12.9,7.2,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 60-69 years,25,25,"Percent of population, crude",0,2009-2010,6,12.4,2.1,17.6,8.2,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 60-69 years,25,25,"Percent of population, crude",0,2011-2012,7,7,1.9,12,3.6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 60-69 years,25,25,"Percent of population, crude",0,2013-2014,8,10.3,1.8,14.9,6.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 60-69 years,25,25,"Percent of population, crude",0,2015-2016,9,9.4,2.5,16.3,4.8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 60-69 years,25,25,"Percent of population, crude",0,2017-2018,10,5.4,1.3,8.8,3.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 70 years and older,26,26,"Percent of population, crude",0,1999-2000,1,13.4,2.4,19.5,8.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 70 years and older,26,26,"Percent of population, crude",0,2001-2002,2,7.9,1.5,11.6,5,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 70 years and older,26,26,"Percent of population, crude",0,2003-2004,3,8.9,1.2,11.9,6.5,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 70 years and older,26,26,"Percent of population, crude",0,2005-2006,4,8.5,1.6,12.6,5.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 70 years and older,26,26,"Percent of population, crude",0,2007-2008,5,6.6,1.2,9.8,4.2,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 70 years and older,26,26,"Percent of population, crude",0,2009-2010,6,6.8,1.5,10.9,4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 70 years and older,26,26,"Percent of population, crude",0,2011-2012,7,6.7,1.8,11.5,3.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 70 years and older,26,26,"Percent of population, crude",0,2013-2014,8,4.2,1,6.8,2.3,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 70 years and older,26,26,"Percent of population, crude",0,2015-2016,9,3.6,0.9,6.1,1.9,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Multiple Characteristics,5,Sex and age group,4,4,Male: 70 years and older,26,26,"Percent of population, crude",0,2017-2018,10,4.7,1.5,8.9,2,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Total,0,Total,0,0,20 years and older,1,30,"Percent of population, crude",0,1999-2000,1,47.2,1.5,50.4,44,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Total,0,Total,0,0,20 years and older,1,30,"Percent of population, crude",0,2001-2002,2,46.8,1.4,49.7,43.8,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Total,0,Total,0,0,20 years and older,1,30,"Percent of population, crude",0,2003-2004,3,46.8,1.5,50,43.5,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Total,0,Total,0,0,20 years and older,1,30,"Percent of population, crude",0,2005-2006,4,46.1,0.8,47.8,44.4,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Total,0,Total,0,0,20 years and older,1,30,"Percent of population, crude",0,2007-2008,5,45.7,1.1,48.1,43.4,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Total,0,Total,0,0,20 years and older,1,30,"Percent of population, crude",0,2009-2010,6,45.1,1.4,48.2,42,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Total,0,Total,0,0,20 years and older,1,30,"Percent of population, crude",0,2011-2012,7,47.4,1.6,50.8,44,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Total,0,Total,0,0,20 years and older,1,30,"Percent of population, crude",0,2013-2014,8,45.4,0.9,47.4,43.4,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Total,0,Total,0,0,20 years and older,1,30,"Percent of population, crude",0,2015-2016,9,47.4,1,49.7,45.2,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Total,0,Total,0,0,20 years and older,1,30,"Percent of population, crude",0,2017-2018,10,49.7,1.3,52.5,46.9,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,31,"Percent of population, crude",0,1999-2000,1,18.9,1.9,23.3,15.1,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,31,"Percent of population, crude",0,2001-2002,2,19.6,1.5,23.1,16.4,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,31,"Percent of population, crude",0,2003-2004,3,15.5,1.6,19.2,12.4,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,31,"Percent of population, crude",0,2005-2006,4,13.8,1.7,17.8,10.5,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,31,"Percent of population, crude",0,2007-2008,5,14.1,1.3,17,11.5,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,31,"Percent of population, crude",0,2009-2010,6,13.5,1.3,16.5,10.9,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,31,"Percent of population, crude",0,2011-2012,7,16.1,1.5,19.5,13.1,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,31,"Percent of population, crude",0,2013-2014,8,13,1.1,15.5,10.8,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,31,"Percent of population, crude",0,2015-2016,9,16.7,1.8,20.9,13,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,31,"Percent of population, crude",0,2017-2018,10,14.7,1.3,17.7,12,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,32,"Percent of population, crude",0,1999-2000,1,30.5,2.9,37.1,24.4,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,32,"Percent of population, crude",0,2001-2002,2,31.4,2.3,36.6,26.4,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,32,"Percent of population, crude",0,2003-2004,3,26.4,2.1,31,22.1,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,32,"Percent of population, crude",0,2005-2006,4,25.1,2.3,30.5,20.2,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,32,"Percent of population, crude",0,2007-2008,5,26.9,2.5,32.6,21.8,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,32,"Percent of population, crude",0,2009-2010,6,29.7,1.7,33.4,26.1,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,32,"Percent of population, crude",0,2011-2012,7,28.3,2.8,34.7,22.5,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,32,"Percent of population, crude",0,2013-2014,8,24.8,1.7,28.8,21.2,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,32,"Percent of population, crude",0,2015-2016,9,27.7,2.2,32.7,23.1,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,32,"Percent of population, crude",0,2017-2018,10,34.1,2.6,39.8,28.6,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,33,"Percent of population, crude",0,1999-2000,1,47.2,2.6,53,41.5,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,33,"Percent of population, crude",0,2001-2002,2,45.2,2,49.6,40.8,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,33,"Percent of population, crude",0,2003-2004,3,48.5,2.7,54.5,42.6,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,33,"Percent of population, crude",0,2005-2006,4,45.6,2,49.9,41.3,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,33,"Percent of population, crude",0,2007-2008,5,43.7,2,48,39.4,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,33,"Percent of population, crude",0,2009-2010,6,38.6,2.2,43.5,33.9,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,33,"Percent of population, crude",0,2011-2012,7,41.8,1.6,45.3,38.5,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,33,"Percent of population, crude",0,2013-2014,8,40.3,2.1,44.8,35.8,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"Hypertension, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,33,"Percent of population, crude",0,2015-2016,9,44.8,2.8,51.1,38.7,,"FN_NHANESCHRONIC01,FN_NHANESCHRONIC02,FN_NHANESCHRONIC03,NT_NHANES00,SC_NHANES03,SC_NHANES04"
